Turbine,Nacelle S/N,Gearbox,Generator,Transformer,Ground cabinet,Tower S/N's - T1,Tower S/N's - T2,Tower S/N's - T3,Tower S/N's - T4,Hub S/N,Blade S/N's - A,Blade S/N's - B,Blade S/N's - C,Blade Type,Commissioning Date,Blad bearing manufacturer,Blade bearing S/N's - A,Blade bearing S/N's - B,Blade bearing S/N's - C
A01,100185881,104018,810600055,33022533,5300051986,200583,200367,200780,200557,101282302,000053-56.0P2-53,000052-56.0P2-53,000054-56.0P2-53,LM,2017-07-14,,,,
A02,100185759,103845,810600028,33022068,5300051963,200287,200246,183442,200311,101282194,G114-10224,G114-10220,G114-10222,Gamesa,2017-06-20,,,,
A03,100185859,103939,810600049,33022411,5300051968,200766,200610,183560,183517,101282140,G114-10215,G114-10216,G114-10214,Gamesa,2017-07-04,,,,
A04,100185772,103818,810600029,33022052,5300051981,200597,200613,200616,200627,101282407,G114-10190,G114-10188,G114-10187,Gamesa,2017-07-14,,,,
A05,100186051,104210,810600096,33023125,5300051960,200342,200039,200300,200305,101282466,G114-10067,G114-10068,G114-10069,Gamesa,2017-07-13,,,,
A06,100185969,104084,810800076,33022800,5300052012,200286,200294,200302,200309,101282461,G114-10053,G114-10054,G114-10052,Gamesa,2017-07-04,,,,
A07,100186000,104158,810600080,33023069,5300052010,200288,200371,200384,200390,101282465,G114-10087,G114-10088,G114-10086,Gamesa,2017-07-18,,,,
A08,100185882,103986,810600046,33022480,5300051997,183310,200772,200784,200793,101282439,G114-10050,G114-10051,G114-10046,Gamesa,2018-02-03,,,,
A09,100185945,104082,810600071,33022673,5300051909,200763,200357,200301,200634,101282467,G114-10078,G114-10076,G114-10077,Gamesa,2017-07-31,,,,
A10,100186047,104189,810600094,33023145,5300051933,183505,200545,183515,200388,101282469,G114-10043,G114-10044,G114-10045,Gamesa,2017-07-29,,,,
B11,100185797,103889,810600037,33022094,5300051989,200601,200363,183323,183452,101282357,000103-56.0P2-53,000104-56.0P2-53,000105-56.0P2-53,LM,2017-08-29,,,,
B12,100185784,103871,250022,33022085,5300051934,200289,200291,200378,200307,101282398,000110-56.0P2-53,000112-56.0P2-53,000109-56.0P2-53,LM,2017-09-08,,,,
B13,100186022,104192,810600092,33023089,5300051955,200351,200360,200247,200394,101282397,000111-56.0P2-53,000115-56.0P2-53,000117-56.0P2-53,LM,2017-08-30,,,,
B14,100185810,103904,810600036,33022216,5300051982,183308,200319,200619,200593,101282328,000022-56.0P2-53,000021-56.0P2-53,000019-56.0P2-53,LM,2017-08-29,,,,
B15,100185965,104099,810600075,33022799,5300051984,200584,183557,200786,200798,101282368,000010-56.0P2-53,000007-56.0P2-53,000009-56.0P2-53,LM,2017-08-30,,,,
B16,100185909,104021,810600057,33022601,5300052009,200346,183312,200043,200401,101282354,000099-56.0P2-53,000097-56.0P2-53,000098-56.0P2-53,LM,2017-09-01,,,,
B17,100185960,104033,810600073,33022729,5300052013,183504,200553,200304,200308,101282208,000094-56.0P2-53,000095-56.0P2-53,000096-56.0P2-53,LM,2017-08-29,,,,
B18,100185895,104156,810600089,33023017,5300052015,200354,183508,183512,200629,101282379,000083-56.0P2-53,000084-56.0P2-53,000082-56.0P2-53,LM,2017-08-31,,,,
C19,100185858,103922,810600050,33022444,5300051996,183462,200297,200299,200310,101282275,000114-56.0P2-53,000116-56.0P2-53,000113-56.0P2-53,LM,2017-08-14,,,,
C20,100185906,104020,810600058,33022600,5300051998,200283,200293,200620,200630,101282460,G114-10048,G114-10049,G114-10047,Gamesa,2017-08-09,,,,
C21,100186075,103803,810100243,33023259,5300412370,200635,200637,200639,N/A,101282591,001106-44.0P-53,001105-44.0P-53,001103-44.0P-53,LM,2017-08-14,,,,
C22,100185717,103779,250040,33022213,5300051978,200284,200296,200377,200395,101282367,000085-56.0p2-53,000086-56.0p2-53,000087-56.0p2-53,LM,2017-08-14,,,,
C23,100186074,103804,810100242,33023119,5300412369,200636,200638,200640,N/A,101282592,001092-44.0P-53,001101-44.0P-53,001102-44.0P-53,Gamesa,2017-08-29,,,,
C24,100185990,104139,810600082,33022890,5300051976,200767,200778,200622,200631,101282351,G114-10064,G114-10066,G114-10065,LM,2017-08-09,,,,
C25,100185864,103941,810600048,1LES33022446,5300051979,200245,200779,200789,200795,101282380,000051-56.0P2-53,000050-56.0P2-53,000049-56.0P2-53,LM,2017-08-16,,,,
C26,100185988,104119,810600084,1LES33022830,5300052001,200599,200777,200623,200632,101282327,G114-10082,G114-10083,G114-10084,Gamesa,2017-08-14,,,,
D27,100185647,103642,250025,33021704,5300052006,200761,200323,200329,200337,101282278,000041-56.0P2-53,000042-56.0P2-53,000040-56.0P2-53,LM,2017-07-17,,,,
D28,100185907,104019,810600056,33022361,5300051975,200552,200770,200589,200592,101282421,G114-10208,G114-10210,G114-10209,Gamesa,2017-07-29,,,,
D29,100186062,104212,810600083,33023192,5300052003,183427,200369,183441,183330,101282213,000102-56.0P2-53,000100-56.0P2-53,000101-56.0P2-53,LM,2017-08-07,,,,
D30,100185700,103686,250031,33021754,5300051985,200312,200586,200548,200399,101282329,000045-56.0P-53,000044-56.0P-53,000046-56.0P-53,Gamesa,2017-07-25,,,,
D31,100185892,104017,810600054,33022549,,200391,,200624,200391,101282210,000038-56.0P2-53,000037-56.0P2-53,000039-56.0P2-53,LM,2017-09-07,,,,
D32,101185987,104138,810600081,33022785,5300052002,183429,183439,200590,200387,101282337,G114-10079,G114-10080,G114-10081,Gamesa,2017-08-07,,,,
D33,100185801,103888,810600030,33022126,5300051993,200345,183437,200547,200792,101282316,000092-56.0P2-53,000093-56.0P2-53,000091-56.0P2-53,LM,2017-07-29,,,,
D34,100186003,104190,810600074,33023015,5300051977,200764,200361,200373,200248,101282440,G114-10057,G114- 10056,G114- 10055,Gamesa,2017-08-07,,,,
D35,100185893,104157,810600085,33023016,5300052008,200344,200771,200376,183460,101282468,G114-10075,G114-10074,G114-10071,Gamesa,2017-08-09,,,,
D36,100185944,104061,810600070,33022727,5300051992,200343,201319,200375,183551,101282265,000108-56.0P2-53,000107-56.0P2-53,000106-56.0P2-53,LM,2017-08-09,,,,
E37,100185703,103748,250036,33021627,5300051961,183544,183546,183448,183455,101282221,000074-56.0P2-53,000075-56.0P2-53,000073-56.0P2-53,LM,2017-05-27,,,,
E38,100185868,103974,810600047,33022384,5300052004,200760,200588,200330,200790,101282253,000027-56.0P2-53,000029-56.0P2-53,000028-56.0P2-53,LM,2017-06-12,,,,
E39,100185867,103973,810600052,33022383,5300051951,200585,200587,200555,200336,101282315,000043-56.0P2-53,000047-56.0P2-53,000048-56.0P2-53,LM,2017-06-05,,,,
E40,100185702,103749,250035,33021630,5300051950,183545,183438,183450,183459,101282251,000006-56.0P2-53,000008-56.0P2-53,000004-56.0P2-53,LM,2017-06-07,,,,
E41,100185697,103697,250015,33021703,5300051942,183428,183440,183449,183458,101282211,000081-56.0P2-53,000080-56.0P2-53,000079-56.0P2-53,LM,2017-05-29,,,,
E42,100185728,103789,810600004,333021882,5300051965,200348,200366,200379,183326,101282227,000090-56.0P2-53,000088-56.0P2-53,000089-56.0P2-53,LM,2017-07-29,,,,
E43,100185819,103906,810600043,33022209,5300051939,200544,200364,200327,200396,101282290,000057-56.0P2-53,000055-56.0P2-53,000056-56.0P2-53,LM,2017-06-07,,,,
E44,100185921,104022,810600059,33022659,5300051966,200543,200368,200386,200550,101282219,000012-56.0P2-53,000011-56.0P2-53,000013-56.0P2-53,LM,2017-07-04,,,,
E45,100185812,103890,810600039,33022197,5300051937,183307,200358,200326,183451,101282291,000031-56.0P2-53,000030-56.0P2-53,000026-56.0P2-53,LM,2017-07-17,,,,
E46,100185974,104118,810600077,33022775,,200314,200362,200328,,101282853,G114-10256,G114-10258,G114-10257,Gamesa,2017-07-29,,,,
F47,100185792,103872,810600034,33022083,5300051921,200037,200040,183563,200045,101282247,G114-10108,G114-10107,G114-10103,Gamesa,2017-03-31,,,,
F48,100185763,103817,810600014,33022001,5300051930,183554,183559,183478,183567,101282249,G114-10104,G114-10105,G114-10106,Gamesa,2017-03-15,,,,
F49,100185679,103725,250019,33021610,5300051923,183461,183316,183476,183484,101282189,G114-10114,G114-10115,G114-10111,Gamesa,2017-04-26,,,,
F50,100185750,103792,810600010,33021905,5300051948,183421,183315,183320,183483,101282269,G114-10116,G114-10118,G114-10117,Gamesa,2017-04-04,,,,
F51,100185752,103801,250038,33021881,5300051941,200036,183318,183479,183332,101282236,G114-10097,G114-10098,G114-10099,Gamesa,2017-04-23,,,,
F52,100185761,103810,810600013,33022010,5300051931,183555,183468,183477,183566,101282239,G114-10164,G114-10165,G114-10168,Gamesa,2017-04-04,,,,
F53,100185701,103737,250034,33021755,5300051926,183423,183472,183325,183331,101282187,G114-10166,G114-10178,G114-10174,Gamesa,2017-04-05,,,,
F54,100185660,103699,250027,33021555,5300051929,183306,183436,183321,183456,101282183,G114-10154,G114-10153,G114-10151,Gamesa,2017-04-29,,,,
F55,100185667,103713,250017,33021567,5300051927,183425,183433,183444,183482,101282169,G114-10070,G114-10073,G114-10072,Gamesa,2017-04-24,,,,
F56,100185671,103714,250021,33021662,5300051924,183311,183469,200381,183519,101282129,G114-10177,G114-10180,G114-10179,Gamesa,2017-05-07,,,,
G57,100185823,103920,810600040,33021902,5300051970,200347,183511,183548,200331,101282314,G114-10197,G114-10189,G114-10196,Gamesa,2017-07-13,,,,
G58,100185692,103736,250033,33021531,5300051935,183467,183471,183480,183487,101282198,G114-10206,G114-10199,G114-10207,Gamesa,2017-06-20,,,,
G59,100185638,103568,250024,33021663,5300051946,183309,183317,183443,183488,101282148,G114-10218,G114-10217,G114-10219,Gamesa,2017-08-04,,,,
G60,100186562,104751,810600122,33025359,5300052039,201399,201400,201401,201402,101282999,G114-10261,G114-10260,G114-10259,Gamesa,2017-07-29,,,,
G61,100185777,103809,810600008,33021916,5300051959,200603,200608,200785,200558,101282326,G114-10230,G114-10227,G114-10231,Gamesa,2017-07-29,,,,
G62,100186026,104194,810600091,33023023,5300052014,200598,183313,200781,200799,101282470,G114-10060,G114-10062,G114-10063,Gamesa,2017-07-19,,,,
G63,100186023,104191,810600093,33023112,,200765,200614,200783,200791,101282401,G114-10221,G114-10223,G114-10225,Gamesa,2017-07-08,,,,
G64,100186050,104195,810600095,33023126,5300051971,200600,200612,200787,200633,101282214,000036-56.0P2-53,000032-56.0P2-53,000035-56.0P2-53,LM,2017-07-19,,,,
G65,100185935,104120,810600079,33022804,5300052000,200768,200611,200618,200797,101282336,G114-10170,G114-10157,G114-10172,Gamesa,2017-07-25,,,,
G66,100185878,103987,810600053,330225547,5300051980,183506,200776,200782,200628,101282406,G114-10226,G114-10228,G114-10229,Gamesa,2017-07-08,,,,
H67,100185844,103937,810600045,33022338,5300051938,200316,200321,200325,200333,101282299,G114-10096,G114-10095,G114-10093,Gamesa,2017-05-16,,,,
H68,100185720,103752,810600002,33021859,5300051988,200352,200606,200615,200549,101282225,000020-56.0P2-53,000023-56.0P2-53,000024-56.0P2-53,LM,2017-05-03,,,,
H69,100185731,103790,810600003,33021891,5300051952,200356,200554,200556,183516,101282230,000025-56.0P2-53,000033-56.0P2-53,000034-56.0P2-53,LM,2017-06-05,,,,
H70,100185931,104044,810600069,33022671,5300051974,200596,183509,200383,200594,101282366,G114-10059,G114-10058,G114-10061,Gamesa,2017-05-16,,,,
H71,100185932,104062,810600067,33022670,5300052011,200355,200605,200372,200625,101282262,G114-10184,G114-10182,G114-10181,Gamesa,2017-05-03,,,,
H72,100185848,103938,810600041,33022337,5300051973,200353,200292,200298,200398,101282263,G114-10192,G114-10201,G114-10193,Gamesa,2017-06-28,,,,
H73,100185790,103873,810600033,33022084,5300051987,200317,200320,200382,200335,101282298,G114-10092,G114-10085,G114-10089,Gamesa,2017-07-04,,,,
H74,100185745,103802,810600009,33021906,5300051991,200282,183510,200303,200397,101282266,000014-56.0P2-53,000015-56.0P2-53,000016-56.0P2-53,LM,2017-06-07,,,,
H75,100185796,103874,810600035,33022096,5300051953,200285,200295,183513,200400,101282233,000005-56.0P2-53,000017-56.0P2-53,000018-56.0P2-53,LM,2017-06-01,,,,
H76,100185778,103819,810600015,33021901,5300051990,183430,200359,200385,200389,101282313,G114-10091,G114-10094,G114-10090,Gamesa,2017-06-07,,,,
I77,100185627,103639,250023,33021756,5300051925,183424,183435,183445,183328,101282195,G114-10113,G114-10110,G114-10109,Gamesa,2017-01-05,,,,
I78,100185669,103698,250018,33021528,5300051928,183422,183314,183319,183453,101282196,G114-10112,G114-10119,G114-10120,Gamesa,2017-01-06,,,,
I79,100185846,103921,810600044,33022318,5300051962,200315,200318,200324,200334,101282272,G114-10101,G114-20102,G114-10100,Gamesa,2017-01-05,,,,
I80,100185820,103846,810600042,33022239,5300051969,200350,200365,200380,200393,101282288,G114-10129,G114-10127,G114-10128,Gamesa,2017-04-04,,,,
I81,100185861,103940,810600051,33022443,5300051967,200349,200322,183549,200392,101282289,G114-10130,G114-10131,G114-10132,Gamesa,2017-02-14,,,,
I82,100185649,103640,250026,33021825,5300051922,183426,183432,183514,183329,101282197,G114-10123,G114-10121,G114-10122,Gamesa,2017-01-06,,,,
I83,100185676,103726,250016,33021624,5300051945,183464,183434,183447,183327,101282166,G114-10126,G114-10124,G114-10125,Gamesa,2017-02-13,,,,
I84,100185657,103641,250029,33021625,5300051936,183553,183473,183562,183565,101282152,G114-10150,G114-10147,G114-10152,Gamesa,2017-02-28,,,,
I85,100185690,103700,250030,33021716,5300051944,183552,183470,183324,183454,101282131,G114-10148,G114-10145,G114-10146,Gamesa,2017-02-28,,,,
I86,100185947,104137,810600078,33022805,5300052005,200595,200290,200374,200626,101282443,G114-10175,G114-10176,G114-10167,Gamesa,2017-02-22,,,,
J87,100185707,103750,250039,33021821,5300051949,183465,183556,200042,183486,101282143,G114-10135,G114-10137,G114-10134,Gamesa,2017-03-04,,,,
J88,100185706,103751,250032,33021817,5300051943,200035,200038,183561,200046,101282121,G114-10144,G114-10143,G114-10141,Gamesa,2017-02-20,,,,
J89,100185970,261396,810600068,33022714,5300051995,183507,183431,183322,200044,101282464,G114-10155,G114-10149,G114-10159,Gamesa,2017-03-04,,,,
J90,100185714,103778,250037,33021860,5300051932,183466,183474,200041,183485,101282181,G114-10139,G114-10133,G114-10136,Gamesa,2017-02-27,,,,
