Code,WO,Maintenance Plant,WTG/Solar,Priority,Description,Long description,Detected,Approved,Deadline,To execute,Created on,User,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
3003102725,,WF KILGALLIOCH,D-32,3,Bottom plat limit switch roller miss,,APR,,,13/12/2023,02/10/2025,,13/03/2024,,SGRE 1,,,MCP,,,0,GEPE,,,,,KID4A032,13/12/2023,IBR,U333700
3003102737,,WF KILGALLIOCH,E-38,3,Platform 1 limit switch roller,,APR,,,13/12/2023,02/10/2025,,13/03/2024,,SGRE 1,,,MCP,,,0,GEPE,,,,,KID5A038,13/12/2023,IBR,U333700
7000089281,,WF KILGALLIOCH,A-8,4,Roof hatch latch,,APR,,,31/01/2024,02/10/2025,,31/07/2024,Roof hatch held on with one latch.,SGRE 1,External,Nacelle,MCP,,,1,GEPE,,,,,KID1A008,06/02/2024,IBR,U342227
7000283251,,WF KILGALLIOCH,B-18,3,SLIGHT LEAK FROM PITCH RAM B,,APR,,,27/05/2024,02/10/2025,,26/08/2024,,SGRE 1,,,MCP,,,0,GEPE,,,,,KID2A018,27/05/2024,IBR,U333700
7000790569,,WF KILGALLIOCH,E-39,3,P*ROTATING UNION LEAK,,APR,,,30/04/2025,02/10/2025,,30/07/2025,,SGRE 1,,Hydraulic system,MCP,,,8,GEPE,,,,,KID5A039,01/05/2025,IBR,U342227
7000793359,,WF KILGALLIOCH,D-27,3,Pitch Accumulator Blade A,Pitch Accumulator Blade A,APR,,,22/05/2025,02/10/2025,,21/08/2025,"SGRE have placed order for replacements, no ETA at present 11/05",SGRE 1,,,MCP,,,0,GEPE,,,,,KID4A027,22/05/2025,IBR,U333700
7000794666,,WF KILGALLIOCH,F-53,4,P*LIFT SAFETY WIRE MONITOR/REPLACEMENT,SLIGHT WEAR ON LIFT SAFETY WIRE. STILL WITHIN LIMITS BUT WIL REQUIRE MONITORING AND FUTURE REPAIR,APR,,,29/05/2025,02/10/2025,,29/11/2025,,SGRE 1,,Personnel lift,MCP,,,0,GEPE,,,,,KID6A053,29/05/2025,IBR,Z486997
7000795565,,WF KILGALLIOCH,I-81,3,P*LIFT DRIVE WIRE REPLACEMENT,DRIVE WIRE FOR LIFT HAS FAILED ITS STAT INSPECTION AND REQUIIRES REPLACMENT,APR,,,04/06/2025,02/10/2025,,03/09/2025,,SGRE 1,,Lifting systems,MCP,,,0,GEPE,,,,,KID9A081,04/06/2025,IBR,Z486997
7000814030,7000535647,WF KILGALLIOCH,A-1,3,P*HUB PRESSURE FILTER SWITCH DAMAGED,,APR,,,22/10/2024,22/10/2024,,21/01/2025,,SGRE 1,,,MCP,,,0,FICH,,,,,KID1A001,30/09/2025,,E925230
7000814035,3003056671,WF KILGALLIOCH,A-1,3,P*LEAK ON HYD UNIT CHARGE VALVE SEAL,,APR,,,06/04/2021,06/04/2021,,06/07/2021,,SGRE 1,,,MCP,,,0,FICH,,,,,KID1A001,30/09/2025,,E925230
7000814036,3003056672,WF KILGALLIOCH,A-1,3,P*HYD HOSEBRACKET BROKEN,,APR,,,02/09/2022,02/09/2022,,02/12/2022,,SGRE 1,,,MCP,,,0,FICH,,,,,KID1A001,30/09/2025,,E925230
7000814045,7000535681,WF KILGALLIOCH,A-2,4,P* LIFT PLATFORM BRACKET CRACKED,,APR,,,22/10/2024,22/10/2024,,22/04/2025,,SGRE 1,,,MCP,,,0,FICH,,,,,KID1A002,30/09/2025,,E925230
7000814046,7000535672,WF KILGALLIOCH,A-2,4,P*PLATFORM 1&2 INDICATOR SWITCH ISSUES,,APR,,,22/10/2024,22/10/2024,,22/04/2025,,SGRE 1,,,MCP,,,0,FICH,,,,,KID1A002,30/09/2025,,E925230
7000814048,7000535680,WF KILGALLIOCH,A-2,3,P*TRX WINDINGS INSULATION FLAKING,,APR,,,22/10/2024,22/10/2024,,21/01/2025,,SGRE 1,,,MCP,,,0,FICH,,,,,KID1A002,30/09/2025,,E925230
7000814050,3003056714,WF KILGALLIOCH,A-2,3,P*TX LOUVRES WONT CLOSE,,APR,,,19/11/2021,19/11/2021,,18/02/2022,,SGRE 1,,,MCP,,,0,FICH,,,,,KID1A002,30/09/2025,,E925230
7000814052,,WF KILGALLIOCH,A-3,3,P*LIFT CABIN LIGHT INOP,,APR,,,18/06/2025,18/06/2025,,17/09/2025,,SGRE 1,,Personnel lift,MCP,,,0,FICH,,,,,KID1A003,30/09/2025,,E925230
